Median for metabolite levels based on three independent biological repetitions of each stress condition plus control growth relative to time points prior to perturbation are shown in columns. Within each condition time points are ordered chronologically the numbering refers to the numbering given in Suppl. Fig 2. 																																																										
condition_timepoint	cold_1	cold_2	cold_3	cold_4	cold_5	cold_6	cold_7	cold_8	cold_9	cold_10	cold_11	cold_12	heat_1	heat_2	heat_3	heat_4	heat_5	heat_6	heat_7	heat_8	heat_9	heat_10	heat_11	oxidative_2	oxidative_3	oxidative_4	oxidative_5	oxidative_6	oxidative_7	oxidative_8	oxidative_9	oxidative_10	oxidative_11	oxidative_12	lactose_1	lactose_2	lactose_3	lactose_4	lactose_5	lactose_6	lactose_7	lactose_8	lactose_9	lactose_10	lactose_11	lactose_12	control_1	control_2	control_3	control_4	control_5	control_6	control_7	control_8	control_9	control_10	control_11	control_12
the name of the metabolite measured	cold stress experiment time point 1	cold stress experiment time point 2	cold stress experiment time point 3	cold stress experiment time point 4	cold stress experiment time point 5	cold stress experiment time point 6	cold stress experiment time point 7	cold stress experiment time point 8	cold stress experiment time point 9	cold stress experiment time point 10	cold stress experiment time point 11	cold stress experiment time point 12	heat stress experiment time point 1	heat stress experiment time point 2	heat stress experiment time point 3	heat stress experiment time point 4	heat stress experiment time point 5	heat stress experiment time point 6	heat stress experiment time point 7	heat stress experiment time point 8	heat stress experiment time point 9	heat stress experiment time point 10	heat stress experiment time point 11	oxidative stress experiment time point 2	oxidative stress experiment time point 3	oxidative stress experiment time point 4	oxidative stress experiment time point 5	oxidative stress experiment time point 6	oxidative stress experiment time point 7	oxidative stress experiment time point 8	oxidative stress experiment time point 9	oxidative stress experiment time point 10	oxidative stress experiment time point 11	oxidative stress experiment time point 12	lactose shift experiment time point 1	lactose shift experiment time point 2	lactose shift experiment time point 3	lactose shift experiment time point 4	lactose shift experiment time point 5	lactose shift experiment time point 6	lactose shift experiment time point 7	lactose shift experiment time point 8	lactose shift experiment time point 9	lactose shift experiment time point 10	lactose shift experiment time point 11	lactose shift experiment time point 12	control experiment time point 1	control experiment time point 2	control experiment time point 3	control experiment time point 4	control experiment time point 5	control experiment time point 6	control experiment time point 7	control experiment time point 8	control experiment time point 9	control experiment time point 10	control experiment time point 11	control experiment time point 12
2-aminobutyric acid	-0.153709835	0.138898448	2.538331107	2.236836481	2.246920423	2.248464354	2.539372849	2.516958144	2.238802119	1.688512506	1.953289164	1.674430612	-0.348763095	0.280651054	-0.466122694	-0.038781471	0.194731955	0.471996349	0.686528174	1.767286233	2.016513642	1.966031072	2.045743548	-0.074180567	0.070552152	1.782877597	2.043774001	0.985303173	0.313925115	1.023018594	1.641695376	0.149984826	0.853744729	0.832890586	0	0.946949059	1.040489145	-0.490837167	0.047730896	0.704593237	0.905328925	2.403784069	3.186640726	1.65384496	0.546433861	0.790638305	-0.180871907	0.160701203	0.416213027	0.686283305	0.560311455	0.742463642	0.889235851	1.712157105	1.995115781	0.112703279	0.383477675	0.300408289
2-hydroxybutyric acid	0.227839667	-0.27069527	0.407138466	-0.045707494	0.199476427	0.140594128	0.394584025	0.51207633	0.974931757	1.481719603	1.59513683	1.585803408	-0.312640056	0.256808993	-0.130916125	-0.397762404	-0.137530471	-0.430624552	-0.640477656	-0.360075628	0.046290244	0.149260934	0.330609294	0.081493056	-0.086373377	-0.125045404	0.179435822	0.33654914	0.358880848	1.040760181	0.75633154	0.728890207	-0.256912857	-0.529729426	0	0.214566377	0.370608235	0.303539511	0.339201598	0.192480455	0.179544661	1.090927637	1.922754228	0.686080116	-0.052135946	-0.812940997	-0.153555231	0.138772213	0.230717809	0.253887483	0.333440061	0.373494722	0.469034047	0.903504143	1.390856728	0.590478447	-0.102542981	0.027359222
2-ketobutyric acid	-0.047543579	0.046026652	0.179356798	-0.187161875	-0.052481683	-0.224454909	-0.312508675	-0.621960542	-0.597123227	-0.083561098	-0.68469461	-0.80203177	-0.219111207	0.19017926	-2.787487078	-3.019069108	-3.130982865	-2.818439992	-2.715682551	-2.681393333	-1.850810078	-1.660810816	-1.361764597	-0.144009123	0.130929895	-0.660068729	0.66486754	0.659557359	-0.492937828	0.740709738	2.098453651	-2.321035242	-2.389417905	-1.964051578	0	0.696011474	-1.440368074	-1.262358045	-0.921733253	-0.118918651	0.166840705	2.473014627	2.196555415	-1.212376083	-1.38761058	-0.967821729	-0.188727084	0.166870299	0.488244155	0.70293195	0.516671302	0.876253912	0.911808953	1.63911277	1.862181256	-2.882769694	-2.891042957	-3.111433794
2-ketoglutaric acid	0.040665787	-0.041845379	-0.339752887	-0.18563953	-0.411977244	-0.425603911	-0.524522743	-0.638322287	0.191822006	0.69577293	-0.134055007	0.195163428	-0.396462322	0.310667096	-0.488710184	-0.150313296	-0.38969035	-0.152841791	-0.406206332	-0.144605511	-0.112901387	0.335980773	0.505088947	-0.295553899	0.245179879	-2.389099634	-0.393376067	0.152466036	0.088306961	1.67864955	1.802758422	1.773016307	2.833094228	5.904841004	0	0.796768337	-1.361447771	-1.08595641	-0.764137428	0.327715638	0.603074007	1.814144663	2.635207711	6.333952306	0.590332058	0.672124843	-0.02882035	0.028255871	0.617783866	0.407562248	0.55981308	0.560549106	0.780400497	1.603435002	5.851642184	7.271741398	7.529541789	7.491703065
3-deoxy-D-arabinoheptulosonic acid	-0.150469297	0.136247385	-0.216943931	-0.538922313	-0.532419713	-0.696156635	-0.600587567	-0.645261455	-0.456405553	-0.413096972	-0.323510808	-0.371566073	-0.259047789	0.219538078	-0.373261597	-0.209147229	-0.038961651	0.00356065	0.713186788	2.126476939	1.991336652	2.983408276	2.625079773	-0.023569522	0.023190644	0.111144157	1.002923005	1.436313317	1.091712056	2.98604243	3.715684737	3.992977239	3.908399994	3.329884665	0	0.620601437	0.755413823	0.222039339	0.614576457	0.848766438	1.010021482	1.781024721	2.676990855	3.037816749	2.747914867	2.815820527	-0.149363397	0.135340174	0.2774798	0.404572993	0.493997048	0.258968095	0.574898217	1.304623597	1.743849163	1.789186567	1.755909509	1.639556076
4-Aminobutyric acid	-0.113244144	0.104998386	0.599201594	1.001743653	1.163794468	1.25208342	1.654001965	2.113057873	3.706177046	4.667634572	4.955323054	4.859058802	-0.289441927	0.240963312	-1.169503482	-0.99923019	-1.021705898	-1.176909875	-1.115084773	-0.691143577	-0.467540581	-0.435755322	-0.145545142	-0.066726949	0.063776674	0.085369618	0.064402623	0.200468296	0.164513915	1.196127075	1.872565112	3.463910086	3.622519376	3.535427453	0	0.418906654	0.837409429	0.89013923	1.202901329	1.738586483	1.784627325	2.339620219	2.684733131	3.806496772	2.593065452	2.440441903	-0.19393723	0.170929209	0.343211689	0.646072149	0.75696136	0.841415756	0.986610518	1.723646592	2.573747308	2.433718398	2.081142017	1.768100034
6-hydroxynicotinic acid	-0.02230331	0.021963755	-0.01518089	-0.059431784	-0.168349764	-0.154758942	0.014398682	-0.029401372	-0.002597871	0.103943945	0.241929575	0.178806071	-0.07604009	0.072232117	-0.225671451	0.121579619	-0.03819151	-0.172026317	-0.124605801	0.183430518	-0.132597784	-0.157600845	0.009347974	0.090575909	-0.096645688	0.006378703	-0.123622441	-0.308336466	-0.466495734	-0.766285798	-0.818462341	-0.345113109	-0.467464574	-0.573602567	0	0.142241009	0.376148172	0.107672901	-0.077855574	0.022713362	0.285815114	0.352458156	-0.137237641	0.101651484	0.133907593	0.856536613	0.111937099	-0.121358275	0.199392393	-0.05261402	-0.235472958	-0.065865347	-0.15364302	0.313213853	-0.195670455	0.132408251	-0.354128887	-0.145134275
6-phosphogluconic acid	-0.052414213	0.050576534	0.775154547	0.038868936	0.116653681	0.543964189	0.399662021	0.141257623	0.509693909	0.380715477	0.250401795	0.545023038	-0.21247591	0.185162705	-0.918106367	-0.676186102	-0.429395573	-1.15836119	-0.700633352	-1.096158522	-0.625317492	-0.679826992	-0.720604961	-0.109047692	0.101381284	-2.052399692	-1.260170737	-1.201061909	-0.293437517	1.089296216	1.304660344	1.617459299	1.167638076	1.949056898	0	0.356939344	0.190408233	-0.209987356	0.048589137	1.062265767	1.527922176	2.821698881	3.70255919	3.692333602	1.949957799	2.030802817	-0.243870238	0.208546176	0.540851834	0.841727842	0.994586208	1.017136201	1.094259499	1.870070118	2.959520648	1.628508917	1.641930037	0.895313327
adipic acid	-0.363648782	0.290192645	1.027316343	-0.000176848	-0.308030584	0.346024672	1.152360358	-0.657093619	0.418853089	-0.336607065	0.314508603	1.411505638	0.363702304	-0.487467073	0.292732241	-0.586381219	-0.594961807	-1.234571165	-1.036871714	-0.947033839	-0.813151921	-0.052822191	0.490510733	0.2991004	-0.377776117	0.775681003	0.809607817	0.217168596	-0.079783893	0.137169817	0.328006881	0.891730572	0.456854916	1.131620864	0	-0.394209227	0.059320175	-0.623624674	-0.367973947	0.033167125	-0.301542626	0.111134678	0.606736061	0.228717617	2.290956874	0.024689501	0.017293839	-0.017503661	0.487255845	-0.251421695	-0.797239275	-0.419001358	-0.517167217	-0.750528763	-0.490761434	-0.307409237	-0.258559588	-0.534165401
