,anise,apple,apple-cider,apple-pie,apricot,asparagus,avocado,baked-beans,baked-chicken,banana-bread,barbecue-sauce,beef,beef-steak,beer,beet,blackberry,blueberry,boysenberry,bread,broccoli,brussel-sprouts,burrito,cabbage,caipirinha,cardamom,carrot,cauliflower,celeriac,champagne,chanterelle,charoset,cheeseburger,cherry-tomato,chia,chili,chili-con-carne,chinese-cabbage,chinese-water-chestnut,chives,chocolate,chocolate-cake,chocolate-chip-cookies,chocolate-mousse,chokecherry,cinnamon,coconut,coffee,cold-brew-coffee,coriander,corn-salad,cornbread,cosmopolitan,cranberry,cronut,cucumber,daiquiri,date,diet,dill,donut,dumpling,easter-egg,eggplant,elderberry,empanada,endive,energy-drink,feijoa,fennel,fig,frozen-yogurt,fruit-salad,garden-tomato,garlic,gefilte-fish,gimlet,ginger,gooseberry,grape,grapefruit,grasshopper-cocktail,hamburger,honey,horseradish,hot-chocolate,hot-dog,huckleberry,ice-cream,iced-tea,kale,kale-de,kale-jp,kimchi,kohlrabi,kumquat,lamb,lasagna,leek,lemon,lemon-balm,lobster,long-island-iced-tea,lychee,macaron,mai-tai,maitake,mandarin-orange,mango,manhattan-cocktail,margarita,marshmallow,martini,marzipan,matzah-ball,meatball,meatloaf,meringue,microgreen,mimosa,mint-julep,mojito,moscow-mule,mulberry,mushroom,nachos,napa-cabbage,nectarine,negroni,nougat,nutmeg,okra,old-fashioned,onion,orange,parsnip,pasta-salad,peach,pear,peppermint,persimmon,pho,pie,pina-colada,pineapple,pizza,plum,pomegranate,popcorn,pork,pork-chops,pot-pie,potato,potato-gratin,pummelo,pumpkin,pumpkin-spice-latte,quince,quinoa,radish,ravioli,red-wine,redcurrant,rhubarb,risotto,rosemary,salad,salmon,sex-on-the-beach,shallot,shirley-temple,shrimp,sidecar,smoothie,soup,sour-cherry,spaghetti,spinach,star-anise,stew,strawberry,sushi,sweet-cherry,sweet-potato,swiss-chard,taco,tamale,tea,tequila-sunrise,tom-collins,turkey,turmeric,turnip,watermelon,whiskey-sour,white-russian,white-wine,wild-leek
2004-01,26.0,17.0,2.0,3.0,35.0,12.0,16.0,7.0,23.0,30.0,16.0,42.0,44.0,54.0,13.0,10.0,13.0,0.0,49.0,16.0,2.0,11.0,10.0,15.0,21.0,13.0,11.0,23.0,24.0,0.0,3.0,8.0,9.0,4.0,45.0,37.0,17.0,14.0,10.0,31.0,36.0,17.0,25.0,27.0,20.0,22.0,57.0,11.0,23.0,0.0,6.0,39.0,5.0,0.0,10.0,22.0,20.0,56.0,26.0,15.0,31.0,9.0,21.0,22.0,11.0,17.0,20.0,46.0,17.0,21.0,20.0,7.0,24.0,30.0,0.0,17.0,29.0,37.0,29.0,30.0,30.0,18.0,23.0,3.0,15.0,17.0,34.0,6.0,23.0,3.0,21.0,47.0,24.0,22.0,26.0,29.0,23.0,30.0,25.0,43.0,29.0,27.0,29.0,7.0,18.0,40.0,48.0,19.0,12.0,19.0,5.0,34.0,11.0,7.0,14.0,31.0,8.0,0.0,23.0,3.0,9.0,4.0,21.0,31.0,14.0,32.0,0.0,8.0,25.0,30.0,20.0,6.0,44.0,27.0,16.0,6.0,10.0,19.0,4.0,19.0,15.0,6.0,20.0,13.0,31.0,68.0,24.0,17.0,36.0,27.0,20.0,18.0,8.0,73.0,2.0,0.0,30.0,7.0,10.0,25.0,24.0,57.0,2.0,10.0,42.0,21.0,56.0,47.0,6.0,7.0,22.0,0.0,26.0,44.0,12.0,31.0,30.0,21.0,34.0,14.0,42.0,0.0,2.0,14.0,10.0,13.0,47.0,29.0,66.0,1.0,11.0,24.0,4.0,20.0,21.0,25.0,0.0
2004-02,25.0,19.0,6.0,3.0,42.0,10.0,11.0,6.0,39.0,31.0,21.0,44.0,15.0,54.0,12.0,10.0,13.0,0.0,45.0,18.0,1.0,21.0,9.0,8.0,26.0,11.0,12.0,17.0,15.0,22.0,2.0,16.0,19.0,4.0,44.0,31.0,21.0,8.0,22.0,34.0,33.0,14.0,25.0,22.0,16.0,19.0,47.0,4.0,27.0,7.0,4.0,38.0,3.0,0.0,12.0,31.0,14.0,57.0,24.0,12.0,19.0,3.0,32.0,17.0,20.0,32.0,14.0,75.0,23.0,35.0,16.0,10.0,21.0,27.0,11.0,8.0,32.0,40.0,27.0,38.0,48.0,20.0,23.0,6.0,11.0,18.0,18.0,6.0,17.0,5.0,29.0,38.0,21.0,15.0,34.0,19.0,24.0,30.0,28.0,0.0,25.0,27.0,20.0,2.0,30.0,32.0,30.0,23.0,9.0,13.0,4.0,33.0,14.0,9.0,12.0,30.0,15.0,0.0,13.0,1.0,11.0,1.0,17.0,36.0,13.0,33.0,48.0,6.0,10.0,14.0,16.0,7.0,28.0,26.0,12.0,6.0,10.0,27.0,4.0,15.0,14.0,6.0,17.0,15.0,29.0,55.0,29.0,22.0,35.0,31.0,15.0,20.0,5.0,86.0,4.0,1.0,24.0,8.0,15.0,32.0,18.0,46.0,3.0,26.0,17.0,20.0,49.0,33.0,14.0,11.0,31.0,0.0,26.0,40.0,17.0,31.0,28.0,17.0,37.0,15.0,40.0,0.0,2.0,9.0,12.0,11.0,49.0,21.0,29.0,1.0,17.0,20.0,3.0,7.0,29.0,24.0,0.0
2004-03,12.0,19.0,4.0,3.0,17.0,8.0,13.0,7.0,20.0,24.0,16.0,38.0,30.0,51.0,19.0,10.0,12.0,0.0,36.0,18.0,3.0,15.0,8.0,12.0,13.0,15.0,12.0,17.0,13.0,33.0,2.0,16.0,13.0,4.0,43.0,37.0,27.0,8.0,14.0,35.0,40.0,17.0,28.0,67.0,15.0,20.0,52.0,3.0,26.0,7.0,6.0,33.0,3.0,0.0,10.0,13.0,12.0,49.0,21.0,13.0,30.0,5.0,34.0,44.0,31.0,30.0,23.0,50.0,31.0,35.0,7.0,9.0,24.0,25.0,11.0,12.0,31.0,20.0,33.0,36.0,12.0,19.0,20.0,7.0,9.0,18.0,37.0,7.0,20.0,7.0,10.0,38.0,33.0,9.0,29.0,16.0,23.0,27.0,27.0,0.0,22.0,30.0,7.0,2.0,33.0,32.0,16.0,20.0,19.0,17.0,4.0,29.0,20.0,3.0,13.0,32.0,11.0,0.0,16.0,2.0,10.0,1.0,17.0,29.0,21.0,33.0,48.0,6.0,13.0,24.0,8.0,9.0,32.0,32.0,10.0,9.0,11.0,20.0,5.0,12.0,12.0,6.0,14.0,17.0,29.0,55.0,24.0,28.0,29.0,26.0,15.0,18.0,5.0,59.0,2.0,1.0,36.0,3.0,19.0,31.0,19.0,46.0,5.0,14.0,16.0,21.0,44.0,32.0,20.0,5.0,15.0,0.0,21.0,37.0,22.0,30.0,31.0,27.0,25.0,19.0,37.0,42.0,2.0,15.0,12.0,8.0,51.0,22.0,55.0,1.0,9.0,19.0,3.0,14.0,26.0,30.0,0.0
2004-04,14.0,17.0,5.0,5.0,34.0,7.0,14.0,10.0,41.0,27.0,25.0,39.0,34.0,50.0,14.0,6.0,11.0,0.0,42.0,16.0,2.0,20.0,6.0,12.0,22.0,10.0,13.0,36.0,16.0,16.0,2.0,13.0,14.0,7.0,47.0,50.0,19.0,17.0,14.0,39.0,40.0,19.0,19.0,21.0,20.0,17.0,46.0,2.0,26.0,7.0,6.0,39.0,3.0,0.0,5.0,20.0,12.0,44.0,24.0,14.0,27.0,5.0,29.0,17.0,15.0,44.0,19.0,36.0,22.0,33.0,7.0,9.0,19.0,31.0,11.0,11.0,21.0,19.0,24.0,24.0,23.0,15.0,21.0,7.0,10.0,20.0,17.0,5.0,18.0,4.0,20.0,38.0,22.0,8.0,49.0,23.0,20.0,15.0,25.0,0.0,24.0,32.0,18.0,2.0,26.0,31.0,30.0,20.0,17.0,20.0,4.0,28.0,16.0,7.0,13.0,28.0,12.0,0.0,15.0,1.0,9.0,1.0,17.0,35.0,24.0,12.0,0.0,6.0,9.0,36.0,15.0,12.0,48.0,30.0,12.0,6.0,10.0,19.0,4.0,14.0,11.0,7.0,16.0,14.0,27.0,53.0,15.0,19.0,30.0,26.0,9.0,19.0,5.0,51.0,2.0,1.0,35.0,3.0,18.0,34.0,10.0,46.0,4.0,22.0,16.0,19.0,46.0,23.0,22.0,5.0,32.0,0.0,18.0,38.0,7.0,31.0,29.0,23.0,28.0,17.0,37.0,0.0,2.0,8.0,13.0,13.0,47.0,14.0,34.0,1.0,13.0,17.0,4.0,17.0,15.0,26.0,0.0
2004-05,21.0,15.0,2.0,3.0,28.0,8.0,14.0,7.0,27.0,22.0,18.0,31.0,25.0,51.0,20.0,10.0,8.0,0.0,37.0,14.0,2.0,15.0,7.0,16.0,20.0,10.0,15.0,16.0,16.0,24.0,2.0,13.0,20.0,3.0,40.0,37.0,21.0,21.0,18.0,42.0,34.0,20.0,26.0,21.0,20.0,19.0,45.0,4.0,23.0,14.0,5.0,39.0,4.0,0.0,7.0,14.0,11.0,43.0,25.0,13.0,17.0,5.0,25.0,17.0,26.0,20.0,22.0,37.0,20.0,33.0,13.0,11.0,18.0,23.0,11.0,15.0,24.0,20.0,30.0,14.0,12.0,15.0,18.0,6.0,8.0,18.0,18.0,6.0,13.0,1.0,14.0,38.0,23.0,17.0,23.0,22.0,18.0,19.0,25.0,0.0,28.0,26.0,23.0,2.0,29.0,32.0,36.0,18.0,8.0,16.0,4.0,27.0,20.0,7.0,13.0,29.0,8.0,0.0,14.0,1.0,7.0,1.0,17.0,30.0,26.0,38.0,0.0,10.0,10.0,22.0,16.0,5.0,46.0,22.0,10.0,6.0,12.0,18.0,3.0,8.0,10.0,7.0,24.0,15.0,28.0,54.0,18.0,17.0,24.0,23.0,16.0,16.0,4.0,47.0,2.0,1.0,24.0,4.0,22.0,16.0,10.0,46.0,5.0,14.0,14.0,18.0,38.0,23.0,6.0,5.0,43.0,41.0,18.0,29.0,9.0,28.0,28.0,23.0,19.0,19.0,35.0,0.0,1.0,16.0,16.0,8.0,51.0,21.0,23.0,1.0,13.0,9.0,3.0,26.0,17.0,13.0,20.0
2004-06,20.0,14.0,3.0,3.0,37.0,14.0,13.0,3.0,23.0,26.0,13.0,35.0,30.0,54.0,13.0,11.0,15.0,30.0,36.0,16.0,2.0,14.0,9.0,20.0,8.0,12.0,13.0,37.0,26.0,43.0,2.0,12.0,15.0,3.0,41.0,25.0,19.0,7.0,16.0,79.0,64.0,21.0,49.0,21.0,19.0,21.0,42.0,3.0,24.0,7.0,4.0,45.0,2.0,0.0,11.0,14.0,18.0,42.0,25.0,13.0,23.0,5.0,29.0,17.0,17.0,27.0,23.0,92.0,12.0,33.0,9.0,13.0,21.0,28.0,15.0,12.0,25.0,20.0,28.0,21.0,12.0,18.0,19.0,4.0,10.0,20.0,18.0,6.0,10.0,3.0,14.0,38.0,27.0,22.0,18.0,25.0,20.0,20.0,25.0,0.0,60.0,28.0,4.0,2.0,32.0,53.0,24.0,21.0,21.0,12.0,5.0,38.0,13.0,5.0,11.0,28.0,15.0,0.0,9.0,1.0,11.0,1.0,17.0,42.0,12.0,30.0,0.0,13.0,22.0,18.0,20.0,13.0,53.0,24.0,12.0,6.0,10.0,20.0,5.0,15.0,7.0,7.0,25.0,13.0,26.0,55.0,9.0,21.0,26.0,24.0,12.0,19.0,6.0,37.0,2.0,1.0,23.0,3.0,18.0,36.0,19.0,53.0,3.0,20.0,13.0,20.0,40.0,30.0,13.0,7.0,45.0,48.0,17.0,26.0,7.0,36.0,28.0,29.0,25.0,40.0,40.0,0.0,1.0,18.0,11.0,7.0,41.0,14.0,23.0,1.0,10.0,20.0,5.0,21.0,18.0,26.0,20.0
2004-07,19.0,17.0,1.0,4.0,27.0,16.0,11.0,9.0,46.0,23.0,18.0,30.0,21.0,51.0,13.0,9.0,9.0,28.0,37.0,14.0,2.0,14.0,9.0,9.0,23.0,12.0,11.0,24.0,13.0,16.0,2.0,10.0,12.0,3.0,42.0,23.0,27.0,14.0,8.0,42.0,35.0,16.0,34.0,21.0,17.0,18.0,43.0,2.0,25.0,7.0,5.0,70.0,3.0,0.0,7.0,20.0,11.0,50.0,13.0,13.0,20.0,5.0,33.0,17.0,18.0,24.0,14.0,36.0,15.0,33.0,8.0,14.0,19.0,31.0,11.0,23.0,26.0,19.0,31.0,27.0,35.0,18.0,17.0,4.0,7.0,20.0,17.0,6.0,13.0,6.0,8.0,38.0,40.0,17.0,38.0,19.0,22.0,16.0,27.0,34.0,48.0,26.0,16.0,2.0,24.0,31.0,21.0,22.0,15.0,16.0,3.0,32.0,14.0,3.0,11.0,28.0,9.0,0.0,15.0,2.0,9.0,1.0,23.0,30.0,15.0,20.0,0.0,6.0,17.0,20.0,15.0,10.0,45.0,23.0,13.0,5.0,11.0,24.0,2.0,9.0,9.0,6.0,20.0,15.0,26.0,53.0,14.0,15.0,31.0,30.0,12.0,17.0,4.0,46.0,2.0,1.0,57.0,5.0,11.0,28.0,12.0,60.0,5.0,25.0,20.0,18.0,46.0,29.0,11.0,9.0,26.0,53.0,16.0,27.0,14.0,33.0,28.0,34.0,21.0,20.0,38.0,0.0,1.0,17.0,11.0,8.0,44.0,8.0,17.0,1.0,7.0,18.0,3.0,10.0,17.0,27.0,25.0
2004-08,20.0,19.0,3.0,3.0,27.0,15.0,14.0,6.0,36.0,31.0,14.0,27.0,37.0,46.0,13.0,9.0,10.0,28.0,36.0,14.0,1.0,15.0,9.0,11.0,14.0,10.0,19.0,23.0,13.0,15.0,2.0,12.0,7.0,3.0,42.0,18.0,30.0,11.0,9.0,33.0,29.0,15.0,32.0,20.0,19.0,16.0,40.0,4.0,21.0,10.0,4.0,72.0,3.0,0.0,9.0,24.0,7.0,48.0,20.0,15.0,21.0,5.0,29.0,16.0,22.0,32.0,24.0,35.0,29.0,32.0,10.0,17.0,21.0,25.0,7.0,11.0,14.0,28.0,34.0,23.0,30.0,16.0,20.0,3.0,6.0,22.0,16.0,7.0,25.0,2.0,12.0,40.0,29.0,17.0,34.0,19.0,20.0,16.0,26.0,33.0,28.0,31.0,20.0,2.0,25.0,45.0,13.0,24.0,16.0,22.0,4.0,30.0,17.0,3.0,11.0,26.0,8.0,0.0,10.0,3.0,11.0,1.0,28.0,29.0,16.0,30.0,0.0,9.0,15.0,16.0,19.0,11.0,49.0,25.0,10.0,5.0,13.0,21.0,3.0,7.0,13.0,7.0,26.0,15.0,27.0,51.0,6.0,15.0,22.0,23.0,10.0,16.0,5.0,22.0,2.0,1.0,67.0,5.0,23.0,27.0,16.0,66.0,5.0,17.0,11.0,21.0,40.0,22.0,17.0,10.0,20.0,59.0,23.0,26.0,13.0,30.0,23.0,11.0,21.0,19.0,34.0,0.0,1.0,11.0,10.0,4.0,39.0,16.0,21.0,1.0,7.0,15.0,7.0,13.0,20.0,17.0,28.0
2004-09,19.0,15.0,5.0,3.0,35.0,13.0,13.0,9.0,29.0,24.0,21.0,28.0,32.0,48.0,18.0,4.0,13.0,48.0,38.0,11.0,1.0,13.0,8.0,20.0,25.0,9.0,11.0,20.0,13.0,26.0,3.0,10.0,12.0,9.0,45.0,14.0,20.0,12.0,10.0,26.0,22.0,13.0,29.0,35.0,11.0,19.0,44.0,7.0,22.0,11.0,3.0,17.0,2.0,0.0,7.0,18.0,9.0,38.0,28.0,13.0,14.0,4.0,26.0,69.0,17.0,29.0,21.0,59.0,33.0,55.0,14.0,19.0,20.0,23.0,24.0,9.0,17.0,30.0,34.0,35.0,48.0,18.0,11.0,4.0,6.0,19.0,28.0,6.0,13.0,4.0,7.0,41.0,34.0,29.0,42.0,20.0,21.0,26.0,26.0,33.0,20.0,37.0,11.0,14.0,27.0,60.0,24.0,18.0,20.0,18.0,2.0,26.0,16.0,6.0,11.0,24.0,15.0,0.0,9.0,2.0,15.0,1.0,34.0,27.0,16.0,20.0,75.0,6.0,10.0,8.0,9.0,7.0,40.0,20.0,13.0,11.0,12.0,30.0,3.0,8.0,12.0,6.0,25.0,16.0,25.0,0.0,11.0,18.0,24.0,18.0,5.0,16.0,4.0,25.0,2.0,0.0,37.0,6.0,9.0,27.0,11.0,73.0,3.0,15.0,9.0,18.0,41.0,34.0,12.0,8.0,19.0,40.0,17.0,23.0,11.0,26.0,23.0,28.0,20.0,18.0,33.0,0.0,1.0,11.0,10.0,7.0,33.0,14.0,19.0,1.0,9.0,11.0,5.0,26.0,23.0,23.0,33.0
2004-10,22.0,20.0,3.0,3.0,20.0,18.0,14.0,9.0,26.0,28.0,23.0,31.0,35.0,53.0,16.0,6.0,12.0,29.0,33.0,14.0,1.0,16.0,23.0,14.0,24.0,16.0,9.0,59.0,21.0,28.0,3.0,18.0,24.0,5.0,35.0,16.0,19.0,7.0,10.0,34.0,34.0,12.0,26.0,52.0,19.0,25.0,40.0,13.0,20.0,17.0,4.0,38.0,4.0,0.0,5.0,16.0,14.0,45.0,34.0,11.0,27.0,7.0,21.0,41.0,26.0,16.0,13.0,35.0,12.0,40.0,19.0,18.0,20.0,24.0,18.0,21.0,29.0,33.0,36.0,26.0,56.0,15.0,12.0,5.0,4.0,21.0,43.0,6.0,19.0,6.0,9.0,41.0,41.0,17.0,47.0,16.0,21.0,24.0,31.0,33.0,31.0,35.0,11.0,5.0,58.0,75.0,14.0,20.0,11.0,21.0,5.0,48.0,11.0,8.0,13.0,20.0,10.0,0.0,26.0,2.0,17.0,1.0,40.0,29.0,11.0,30.0,46.0,6.0,21.0,19.0,23.0,7.0,60.0,24.0,14.0,6.0,13.0,32.0,1.0,14.0,12.0,7.0,38.0,20.0,30.0,0.0,15.0,8.0,26.0,20.0,5.0,17.0,6.0,27.0,1.0,0.0,23.0,6.0,29.0,35.0,16.0,0.0,6.0,23.0,18.0,21.0,51.0,33.0,22.0,8.0,14.0,40.0,21.0,22.0,17.0,26.0,19.0,11.0,19.0,23.0,38.0,0.0,1.0,11.0,12.0,4.0,42.0,21.0,27.0,1.0,11.0,21.0,9.0,16.0,31.0,18.0,29.0
