SITE,DATE,SNOW cm,RAIN cm,MAX AT C,MIN AT C,ST Surface C,ST O/M Horizon C,ST 15cm C,ST 30cm C,ST 60cm C,ST 90cm C
1AC0,1970/08/17,M,0.35,28,3,22.5,22.8,14.4,16.3,15.5,13.7
1AC0,1970/08/24,M,0.25,30.5,0.9,13.5,13.5,11.1,12.5,13,12.2
1AC0,1970/08/31,M,1.98,25,4,14,14,13.3,13.5,13,12.3
1AC0,1970/09/08,M,0.88,26.5,-4,4.6,5.2,4.6,8.7,11,11.2
1AC0,1970/09/14,M,1.77,25,-3.5,7.1,7.1,7.7,9,9,9
1AC0,1970/09/21,M,1.14,14,-7,0.9,0.9,2.5,4.6,7.1,8.1
1AC0,1970/09/28,M,1.82,6.5,-8,0,1.3,2,3.3,4.7,6
1AC0,1970/10/05,2,M,1.4,-12.5,-0.2,-0.1,1.1,2.1,3.2,4.9
1AC0,1970/10/12,17,M,7.5,-13.5,0.8,0.9,1.3,2.1,3.1,4.2
1AC0,1970/10/19,26,M,3,-22.5,0.9,0.9,1.2,1.9,2.9,3.9
1AC0,1970/10/26,24,M,-9,-26.2,0.4,0.5,1.1,1.9,2.6,3.2
1AC0,1970/11/02,11,M,10.5,-21.5,1,1,1.1,1.8,2.2,3
1AC0,1970/11/09,15.5,M,6.5,-16,0,0,1,1.5,2.1,2.9
1AC0,1970/11/16,16,M,3,-27,-1.9,-1.8,0.2,1.1,1.9,2.6
1AC0,1970/11/23,41.5,M,-1,-29.5,0.3,0.1,0.3,1,1.7,2.2
1AC0,1970/11/30,55,M,0,-36,-0.2,0,0,0.9,1.2,2.2
1AC0,1970/12/07,55,M,-21,-39,-0.6,-0.7,-0.5,0.7,1.5,2
1AC0,1970/12/14,42.5,M,-7,-23,-0.2,-0.3,-0.2,0.6,1.7,1.1
1AC0,1970/12/21,86,M,5,-28.8,-0.8,-0.8,-0.2,0.5,1.2,1.5
1AC0,1970/12/28,88.5,M,8,-36.5,0.2,0.1,0.2,0.3,0.9,1.3
1AC0,1971/01/04,82.5,M,0,-42,-0.6,-0.8,-0.6,0,0.9,1.2
1AC0,1971/01/12,90,M,6,-39,-0.4,-0.4,-0.2,0.1,1,1.6
1AC0,1971/01/20,86,M,-9,-54,-1.9,-2,-1.8,-1,0.2,0.8
1AC0,1971/01/26,90,M,-29,-53.3,-2.3,-2.4,-2.1,-1.1,0.6,1.4
1AC0,1971/02/03,90,M,-14.5,-46,-3.7,-3.7,-3,-2.2,-0.1,1
1AC0,1971/02/10,85.5,M,4,-34.4,-2.5,-2.6,-2.6,-2,-0.5,0.5
1AC0,1971/02/15,93.5,M,-6,-35,-2.1,-2.1,-2,-1.5,-0.3,0.8
1AC0,1971/02/22,85,M,M,-30,-2.1,-2.1,-2,-1.7,-0.5,0.2
1AC0,1971/03/01,90,M,-6.5,-38.3,-2.4,-2.6,-2.4,-1.7,-0.5,0.3
1AC0,1971/03/08,92,M,-11,-43.3,-2.9,-2.8,-2.8,-2.2,-1,0.1
1AC0,1971/03/15,91.5,M,-13,-41.1,-3.9,-3.7,-3.5,-2.7,-1.1,0
1AC0,1971/03/22,87.5,M,9,-17.8,-2.3,-2.5,-2.3,-1.9,-0.9,0.2
1AC0,1971/03/29,82,M,0,-19.4,-0.5,-1.9,-2,-2.4,-0.5,0
1AC0,1971/04/05,80.5,M,8,-23.3,-3.7,-3.6,-3.3,-2.7,-1.4,-0.5
1AC0,1971/04/13,76.5,M,12,-25,-3.5,-3.4,-3.1,-2.7,-1.5,-0.6
1AC0,1971/04/19,56,M,12.5,-3.3,0.4,0.3,0.1,-0.1,-0.3,0
1AC0,1971/04/26,40.5,M,20.5,-8.3,0.4,0.3,0.2,0,0,-0.7
1AC0,1971/05/03,26.5,M,13.4,-11.1,0.5,0.6,0.5,0.4,0.2,0.3
1AC0,1971/05/10,7.5,1.14,16,-7.2,1.2,1.1,0.4,0.1,0,0
